Zone,CH Num,CH Name,RX Freq,TX Freq,RX TS,TX TS,RX CC,TX CC,Type,Power,Bandwidth,RX Only,Contact Name,RX Group Name,Scan List Name,Alarm,Prompt,PCT,MSG Type,TX Policy,EAS,TX Tone Type,TX Tone,RX Tone Type,RX Tone,APRS CH,Relay Monitor,Relay Mode
George,1,Rpt 147.12,147120000,147720000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,BM WW,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,2,Smp 147.12,147120000,147120000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,3,Rpt Cross,145330000,446800000,TS1,TS1,1,1,ANALOG,LOW,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,4,Rpt Grn V,147000000,147600000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,5,Rpt Grn U,444225000,449225000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,CTCSS,136.5,CTCSS,136.5,0,OFF,OFF
George,6,Rpt Parrot,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Rpt Parrot,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,7,RP NA,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,N America,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,8,Rpt MS SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,MS SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,9,Rpt SE Reg,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,SE Region,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,10,Rpt Luce,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Lucedale,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_ALL,OFF,OFF,0,OFF,0,0,OFF,OFF
George,11,Rpt Local,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Local,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,12,Rpt Hurcan,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Hurricane,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,13,Rpt 1st Co,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,1st Coast,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,14,Rpt MS TAC,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,MS TAC,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_ALL,OFF,OFF,0,OFF,0,0,OFF,OFF
George,15,Rpt Kingsl,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Kingsland,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,16,Rpt WW Eng,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,WW Eng,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,17,Rpt BM WW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM WW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,18,Rpt BM NA,444200000,449200000,TS1,TS1,1,1,DIGITAL,LOW,12.5KHz,OFF,BM N Ameri,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,19,Rpt Tac310,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-310,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,20,Rpt Tac311,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-311,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,21,Rpt Tac312,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TAC-312,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,22,Rpt BM USA,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,BM USA,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,23,Rpt AL SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,AL SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,24,Rpt AL Lnk,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,AL Link,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,25,Rpt FL SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,FL SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,26,Rpt LA SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,LA SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,27,Rpt SE LA,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,SE LA,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,28,Rpt TX SW,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,TX SW,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
George,29,Rpt T2 Dsc,444200000,449200000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,Clear TS,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
George,30,Rpt T1 Dsc,444200000,449200000,TS2,TS2,1,1,DIGITAL,HIGH,12.5KHz,OFF,Clear TS,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

Hotspot,1,Parrot,446187500,446187500,TS2,TS2,1,1,DIGITAL,LOW,12.5KHz,OFF,BM Parrot,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
Hotspot,2,Disconnect,446187500,446187500,TS2,TS2,1,1,DIGITAL,LOW,12.5KHz,OFF,Clear TS,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
Hotspot,3,Lucedale,446187500,446187500,TS2,TS2,1,1,DIGITAL,LOW,12.5KHz,OFF,Lucedale,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
Hotspot,4,MS SW,446187500,446187500,TS2,TS2,1,1,DIGITAL,LOW,12.5KHz,OFF,MS SW,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF
Hotspot,5,MS TAC,446187500,446187500,TS2,TS2,1,1,DIGITAL,LOW,12.5KHz,OFF,MS TAC,Hotspot,OFF,OFF,OFF,PATCS,UNCONFIRMED,POLITE_TO_CC,OFF,OFF,0,OFF,0,0,OFF,OFF

Simplex,1,DS 146.42,146420000,146420000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,2,DS 146.44,146440000,146440000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,3,DS 146.46,146460000,146460000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,4,DS 147.42,147420000,147420000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,5,DS 147.44,147440000,147440000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,6,DS 147.46,147460000,147460000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,7,DS 147.48,147480000,147480000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,8,DS440.9125,440912500,440912500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,9,DS440.9250,440925000,440925000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,10,DS440.9375,440937500,440937500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,11,DS440.9500,440950000,440950000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,12,DS440.9625,440962500,440962500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,13,DS440.9750,440975000,440975000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,14,DS440.9875,440987500,440987500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,15,DS441 CALL,441000000,441000000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,16,DS441.0125,441012500,441012500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,17,DS441.0250,441025000,441025000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,18,DS441.0375,441037500,441037500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,19,DS441.0500,441050000,441050000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,20,DS441.0625,441062500,441062500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,21,DS441.0750,441075000,441075000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,22,DS441.1000,441100000,441100000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,23,DS441.1125,441112500,441112500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,24,DS441.1250,441125000,441125000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,25,DS441.1375,441137500,441137500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,26,DS441.1500,441150000,441150000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,27,DS441.1625,441162500,441162500,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,28,DS441.1750,441175000,441175000,TS1,TS1,1,1,DIGITAL,HIGH,12.5KHz,OFF,DMR Simplx,Anywhere,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF
Simplex,29,SMP146.400,146400000,146400000,TS1,TS1,1,1,ANALOG,HIGH,25KHz,OFF,OFF,OFF,OFF,OFF,OFF,PATCS,UNCONFIRMED,IMPOLITE,OFF,OFF,0,OFF,0,0,OFF,OFF

